episode,ckpt,distance_to_goal,SR,SPL,collisions_count
38.0,42.0,0.18,1.0,1.0,2.0
7.0,37.0,0.04,1.0,0.73,2.0
21.0,45.0,0.26,0.0,0.0,0.0
26.0,3.0,0.32,0.0,0.0,0.0
38.0,3.0,0.08,1.0,0.62,0.0
3.0,41.0,0.84,0.0,0.0,13.0
19.0,43.0,0.15,1.0,0.78,0.0
35.0,11.0,1.89,0.0,0.0,0.0
3.0,22.0,0.15,1.0,0.88,4.0
3.0,36.0,0.23,0.0,0.0,4.0
38.0,31.0,0.12,1.0,0.92,0.0
35.0,15.0,0.06,1.0,0.84,0.0
20.0,40.0,0.19,1.0,0.84,4.0
20.0,44.0,0.07,1.0,0.94,4.0
23.0,27.0,0.19,1.0,0.89,0.0
39.0,22.0,0.91,0.0,0.0,0.0
21.0,17.0,0.15,1.0,0.85,5.0
19.0,39.0,0.04,1.0,0.93,0.0
16.0,0.0,2.99,0.0,0.0,2.0
21.0,44.0,0.17,1.0,0.86,0.0
23.0,46.0,0.27,0.0,0.0,0.0
29.0,10.0,1.0,0.0,0.0,2.0
38.0,19.0,0.16,1.0,0.82,0.0
16.0,26.0,0.1,1.0,0.9,4.0
16.0,5.0,0.89,0.0,0.0,9.0
35.0,33.0,0.14,1.0,0.69,0.0
19.0,41.0,0.19,1.0,0.78,0.0
26.0,47.0,0.08,1.0,0.98,7.0
38.0,39.0,0.14,1.0,0.92,0.0
21.0,7.0,0.19,1.0,0.73,0.0
26.0,23.0,0.62,0.0,0.0,3.0
21.0,40.0,0.08,1.0,0.82,4.0
12.0,7.0,0.44,0.0,0.0,9.0
3.0,33.0,0.12,1.0,0.69,3.0
38.0,6.0,0.55,0.0,0.0,0.0
20.0,29.0,0.59,0.0,0.0,6.0
15.0,44.0,0.05,1.0,0.95,0.0
20.0,34.0,0.15,1.0,0.83,6.0
20.0,12.0,0.21,0.0,0.0,0.0
12.0,4.0,1.4,0.0,0.0,0.0
26.0,30.0,0.1,1.0,0.94,7.0
12.0,27.0,0.08,1.0,0.63,29.0
